x,y,yaw
0.0,0.0,0.0
0.2038145214319229,0.0,0.0
0.40408942103385925,0.0,0.0
0.6084484457969666,0.0,0.0
0.8133613467216492,0.0,0.0
1.018349528312683,0.0,0.0
1.2233484983444214,0.0,0.0
1.4283483028411865,0.0,0.0
1.6333481073379517,0.0,0.0
1.8383479118347168,0.0,0.0
2.03834867477417,0.0,0.0
2.2383532524108887,0.0,0.0
2.4383578300476074,0.0,0.0
2.638362407684326,0.0,0.0
2.838366985321045,0.0,0.0
3.0383715629577637,0.0,0.0
3.2383761405944824,0.0,0.0
3.438380718231201,0.0,0.0
3.63838529586792,0.0,0.0
3.8383898735046387,0.0,0.0
4.038394451141357,0.0,0.0
4.238399028778076,0.0,0.0
4.438403606414795,0.0,0.0
4.638408184051514,0.0,0.0
4.838412761688232,0.0,0.0
5.038417339324951,0.0,0.0
5.23842191696167,0.0,0.0
5.438426494598389,0.0,0.0
5.638431072235107,0.0,0.0
5.838435649871826,0.0,0.0
6.038440227508545,0.0,0.0
6.238444805145264,0.0,0.0
6.438449382781982,0.0,0.0
6.638453960418701,0.0,0.0
6.83845853805542,0.0,0.0
7.038463115692139,0.0,0.0
7.238467693328857,0.0,0.0
7.438472270965576,0.0,0.0
7.638476848602295,0.0,0.0
7.838481426239014,0.0,0.0
8.038485527038574,0.0,0.0
8.238490104675293,0.0,0.0
8.438494682312012,0.0,0.0
8.64340591430664,0.0021838583052158356,0.011930971406400204
8.840824127197266,0.05613366514444351,0.20265674591064456
9.02420425415039,0.14705106616020203,0.3949037790298462
9.186837196350098,0.271330863237381,0.5871512293815613
9.322728157043457,0.4243948459625244,0.7793993353843689
9.42686939239502,0.600602388381958,0.9716474413871766
9.495424270629883,0.7934617400169373,1.1638954877853394
9.52586555480957,0.9958667755126953,1.3561435937881468
9.53050708770752,1.2005984783172607,1.483777165412903
9.54833698272705,1.4048211574554443,1.483777165412903
9.566166877746582,1.609043836593628,1.483777165412903
9.583996772766113,1.8132665157318115,1.483777165412903
9.601826667785645,2.017489194869995,1.483777165412903
9.619656562805176,2.2217118740081787,1.483777165412903
9.637486457824707,2.4259345531463623,1.483777165412903
9.655316352844238,2.630157232284546,1.483777165412903
9.67314624786377,2.8343799114227295,1.483777165412903
9.6909761428833,3.038602590560913,1.483777165412903
9.708806037902832,3.2428252696990967,1.483777165412903
9.726635932922363,3.4470479488372803,1.483777165412903
9.744465827941895,3.651270627975464,1.483777165412903
9.762295722961426,3.8554933071136475,1.483777165412903
9.780125617980957,4.05971622467041,1.483777165412903
9.797955513000488,4.263938903808594,1.483777165412903
9.81578540802002,4.468161582946777,1.483777165412903
9.83361530303955,4.672384262084961,1.483777165412903
9.851445198059082,4.8766069412231445,1.483777165412903
9.869275093078613,5.080829620361328,1.483777165412903
9.887104988098145,5.285052299499512,1.483777165412903
9.89204216003418,5.489441394805908,1.5418648719787595
9.897866249084473,5.69434928894043,1.5421072244644165
9.896246910095215,5.8989033699035645,1.5806502103805544
9.863533973693848,6.100996494293213,1.6754609346389768
9.842106819152832,6.304867267608643,1.6754609346389768
9.820679664611816,6.508738040924072,1.6754609346389768
9.7992525100708,6.712608814239502,1.6754609346389768
9.777825355529785,6.916479587554932,1.6754609346389768
9.75639820098877,7.120350360870361,1.6754609346389768
9.734971046447754,7.324221134185791,1.6754609346389768
9.713543891906738,7.528091907501221,1.6754609346389768
9.664928436279297,7.726067543029785,1.793716549873352
9.57031536102295,7.907568454742432,1.9859646558761594
9.442768096923828,8.067647933959961,2.1782126426696777
9.286982536315918,8.200407028198242,2.3704607486724854
9.108701705932617,8.300958633422852,2.562708854675293
8.9144926071167,8.365593910217285,2.7549569606781006
8.711966514587402,8.396124839782715,2.9247913360595703
8.511771202087402,8.440230369567871,2.9247913360595703
8.310522079467773,8.476911544799805,2.963334321975708
8.105751037597656,8.475239753723145,3.0862789154052734
7.9060516357421875,8.486302375793457,3.0862789154052734
7.706352233886719,8.49736499786377,3.0862789154052734
7.50665283203125,8.508427619934082,3.0862789154052734
7.306953430175781,8.519490242004395,3.0862789154052734
7.1072540283203125,8.530552864074707,3.0862789154052734
6.907554626464844,8.54161548614502,3.0862789154052734
6.707855224609375,8.552678108215332,3.0862789154052734
6.508155822753906,8.563740730285645,3.0862789154052734
6.3084564208984375,8.574803352355957,3.0862789154052734
6.108757019042969,8.58586597442627,3.0862789154052734
5.9090576171875,8.596928596496582,3.0862789154052734
5.709358215332031,8.607991218566895,3.0862789154052734
5.5096588134765625,8.619053840637207,3.0862789154052734
5.309959411621094,8.63011646270752,3.0862789154052734
5.110260009765625,8.641179084777832,3.0862789154052734
4.910560607910156,8.652241706848145,3.0862789154052734
4.7108612060546875,8.663304328918457,3.0862789154052734
4.511161804199219,8.67436695098877,3.0862789154052734
4.31146240234375,8.685429573059082,3.0862789154052734
4.111763000488281,8.696492195129395,3.0862789154052734
3.9120678901672363,8.707554817199707,3.0862789154052734
3.707385778427124,8.718894004821777,3.0862789154052734
3.5027036666870117,8.730233192443848,3.0862789154052734
3.2980215549468994,8.741572380065918,3.0862789154052734
3.093825578689575,8.73901081085205,-3.1302294731140137
2.8891639709472656,8.72954273223877,-3.1104423999786377
2.6842668056488037,8.723169326782227,-3.1104423999786377
2.479369640350342,8.716795921325684,-3.1104423999786377
2.27447247505188,8.71042251586914,-3.1104423999786377
2.069575309753418,8.704049110412598,-3.1104423999786377
1.8646748065948486,8.697675704956055,-3.1104423999786377
1.6647703647613525,8.691457748413086,-3.1104423999786377
1.4648659229278564,8.685239791870117,-3.1104423999786377
1.2649614810943604,8.679021835327148,-3.1104423999786377
1.0650570392608643,8.67280387878418,-3.1104423999786377
0.8601566553115845,8.666430473327637,-3.1104423999786377
0.6552570462226868,8.660057067871094,-3.1104423999786377
0.4503571391105652,8.65368366241455,-3.1104423999786377
0.24620667099952698,8.665337562561035,3.105034828186035
0.046340376138687134,8.672661781311035,3.105034828186035
-0.15352588891983032,8.679986000061035,3.105034828186035
-0.35339218378067017,8.687310218811035,3.105034828186035
-0.5580203533172607,8.688305854797363,3.1388888359069824
-0.7627004384994507,8.680058479309082,-3.1198203563690186
-0.9676513671875,8.6756010055542,-3.1198203563690186
-1.1726022958755493,8.671143531799316,-3.1198203563690186
-1.3775532245635986,8.666686058044434,-3.1198203563690186
-1.582504153251648,8.66222858428955,-3.1198203563690186
-1.7874550819396973,8.657771110534668,-3.1198203563690186
-1.9924060106277466,8.653313636779785,-3.1198203563690186
-2.1923627853393555,8.648964881896973,-3.1198203563690186
-2.392319679260254,8.64461612701416,-3.1198203563690186
-2.5922765731811523,8.640267372131348,-3.1198203563690186
-2.792233467102051,8.635918617248535,-3.1198203563690186
-2.992190361022949,8.631569862365723,-3.1198203563690186
-3.1921472549438477,8.62722110748291,-3.1198203563690186
-3.392104148864746,8.622872352600098,-3.1198203563690186
-3.5920610427856445,8.618523597717285,-3.1198203563690186
-3.792017936706543,8.614174842834473,-3.1198203563690186
-3.9919748306274414,8.60982608795166,-3.1198203563690186
-4.196921348571777,8.605368614196777,-3.1198203563690186
-4.401867389678955,8.600911140441895,-3.1198203563690186
-4.606813430786133,8.596453666687012,-3.1198203563690186
-4.8117594718933105,8.591996192932129,-3.1198203563690186
-5.016705513000488,8.587538719177246,-3.1198203563690186
-5.221651554107666,8.583081245422363,-3.1198203563690186
-5.426597595214844,8.57862377166748,-3.1198203563690186
-5.6315436363220215,8.574166297912598,-3.1198203563690186
-5.836489677429199,8.569708824157715,-3.1198203563690186
-6.041435718536377,8.565251350402832,-3.1198203563690186
-6.246381759643555,8.56079387664795,-3.1198203563690186
-6.451327800750732,8.556336402893066,-3.1198203563690186
