w_tr_right_m,w_tr_left_m,a,b,c_center,c_left,c_right
1.908607037259372,0.2913929627406283,0.25883813040470977,-0.9659207121956721,0.8088142930470245,1.1002072557876528,-1.0997927442123476
1.9084512537284066,0.29154874627159355,0.2588488521086688,-0.9659178390329193,0.8088102465178977,1.1003589927894912,-1.099641007210509
1.9082996821748777,0.2917003178251225,0.2588607328785083,-0.9659146551189715,0.8088033429432148,1.1005036607683372,-1.099496339231663
1.9081513228844438,0.2918486771155565,0.2588737727027634,-0.9659111604110587,0.8087930815032055,1.100641758618762,-1.0993582413812382
1.9080069555737889,0.29199304442621143,0.2588878749781138,-0.9659073807510307,0.808779041713569,1.1007720861397803,-1.09922791386022
1.9078658466941982,0.29213415330580195,0.2589030396920844,-0.9659033160923504,0.8087607568497885,1.1008949101555905,-1.0991050898444097
1.90772847684839,0.2922715231516102,0.2589193634211528,-0.965898940493044,0.8087376657449294,1.1010091888965396,-1.0989908111034605
1.9075945918724326,0.29240540812756755,0.25893665297070656,-0.9658943056816972,0.8087096707026289,1.1011150788301964,-1.0988849211698037
1.907464386379229,0.2925356136207711,0.25895510150471285,-0.9658893598154418,0.8086760184456698,1.101211632066441,-1.0987883679335593
1.907337708454584,0.29266229154541634,0.258974419240117,-0.9658841805202341,0.8086368008805426,1.101299092425959,-1.0987009075740413
1.9072143841155826,0.29278561588441765,0.25899479933867514,-0.965878715944978,0.8085911222412797,1.1013767381256974,-1.098623261874303
1.9070946338378216,0.29290536616217844,0.2590161451950482,-0.9658729919240405,0.8085389103759656,1.101444276538144,-1.098555723461856
1.9069781813617779,0.2930218186382223,0.2590384567920528,-0.9658670083933873,0.8084797585317485,1.1015015771699708,-1.0984984228300294
1.9068651895318198,0.29313481046818035,0.25906163752564876,-0.9658607911922553,0.8084134236595732,1.1015482341277536,-1.0984517658722466
1.9067554237425859,0.2932445762574143,0.25908578396446924,-0.9658543143494863,0.8083394270908167,1.101584003348231,-1.0984159966517693
1.9066491526179,0.29335084738210015,0.25911079950430965,-0.96584760370373,0.808257539857288,1.1016083872393883,-1.098391612760612
1.90654584076992,0.2934541592300801,0.25913658754296653,-0.9658406851011125,0.8081677166125055,1.1016218758425858,-1.0983781241574144
1.906446425547336,0.2935535744526644,0.2591632446471721,-0.9658335325634279,0.808069400962151,1.1016229754148155,-1.098377024585185
1.9063504388198909,0.29364956118010943,0.25919067421497805,-0.9658261719377794,0.8079625616496302,1.1016121228297395,-1.0983878771702607
1.9062586573780487,0.2937413426219516,0.2592187796468347,-0.9658186290802253,0.8078472921557536,1.101588634777705,-1.098411365222295
1.9061706516366843,0.29382934836331587,0.2592477540890541,-0.9658108520822187,0.8077223719776594,1.1015517203409753,-1.098448279659025
1.9060871887795257,0.2939128112204745,0.25927730777974867,-0.9658029186487714,0.8075888894748917,1.1015017006953662,-1.098498299304634
1.90600797957716,0.29399202042284,0.25930753728409206,-0.9657948027959454,0.8074461150707428,1.101438135493583,-1.0985618645064172
1.9059335139127613,0.29406648608723895,0.2593384425850104,-0.9657865044602669,0.8072937253757655,1.1013602114630046,-1.0986397885369958
1.9058636925123842,0.294136307487616,0.2593699270872433,-0.9657780495138405,0.8071319997575983,1.1012683072452143,-1.0987316927547859
1.9057988879279493,0.294201112072051,0.2594019907755372,-0.9657694379000031,0.8069606301141123,1.1011617421861635,-1.098838257813837
1.9057389949813328,0.29426100501866737,0.25943453705828806,-0.9657606955045084,0.8067798992383728,1.1010409042570402,-1.09895909574296
1.9056845034713183,0.2943154965286817,0.25946766249752656,-0.9657517963317851,0.8065891788112922,1.100904675339974,-1.0990953246600261
1.9056352781382488,0.29436472186175133,0.25950117392864097,-0.9657427922224723,0.8063892624699642,1.1007539843317156,-1.0992460156682846
1.9055914795492108,0.29440852045078947,0.2595351679141541,-0.9657336571828549,0.8061793746853758,1.1005878951361652,-1.099412104863835
1.9055532582617563,0.2944467417382438,0.2595695478678802,-0.965724417118913,0.8059600347974132,1.100406776535657,-1.099593223464343
1.905520657678459,0.29447934232154127,0.25960421720717974,-0.9657150979498288,0.8057315783790713,1.1002109207006125,-1.0997890792993876
1.9054939960636592,0.29450600393634097,0.25963927249418833,-0.9657056736804898,0.805493448986893,1.099999452923234,-1.1000005470767662
1.9054731242998266,0.29452687570017355,0.259674713717552,-0.9656961442688416,0.8052452840971192,1.0997721597972927,-1.1002278402027075
